Name,Address
VISION OPTIQUE,"5158 BUFFALO SPEEDWAY, HOUSTON, TEXAS 77005"
THE EYE GALLERY OF HOUSTON-POST OAK,"1700 POST OAK BLVD, HOUSTON, TEXAS 77056"
OPTICA,"THE HOUSTON GALLERIA, 5085 WESTHEIMER, HOUSTON, TEXAS 77056"
MCCAIN FAMILY EYECARE,"836 UNIVERSITY DRIVE, LAKE CHARLES, LOUISIANA 70605"
WESTLAKE EYECARE,"360 NUECES STREET<BR> SUITE 70, AUSTIN, TEXAS 78701"
SANTA FE OPTICAL - JEFFERSON,"1601 WEST 38TH STREET  SUITE 108, AUSTIN, TEXAS 78731"
AUSTIN VISION CENTER - TARRYTOWN,"2415 EXPOSITION  SUITE D, AUSTIN, TEXAS 78703"
SANTA FE OPTICAL- ARBOR,"9722 GREAT HILLS TRAIL, AUSTIN, TEXAS 78759"
SANTA FE OPTICAL - WESTLAKE,"701 CAPITAL OF TEXAS HWY SOUTH  SUITE, WESTLAKE HILLS, TEXAS 78746"
FOCAL POINT EYE CARE,"16645 HIGHLAND ROAD, BATON ROUGE, LOUISIANA 70810"
PARIS OPTIQUE,"7135 E. CAMELBACK ROAD, SUITE 152<BR> SCOTTSDALE WATERFRONT, SCOTTSDALE, ARIZONA 85251"
PARIS OPTIQUE,"15147 N. SCOTTSDALE ROAD, SUITE 140<BR> SCOTTSDALE QUARTER, SCOTTSDALE, ARIZONA 85260"
OPTICA,"THE RIVER AT RANCHO MIRAGE, 71-800 HWY 111, RANCHO MIRAGE, CALIFORNIA 92270"
SCENE,"MANDALAY BAY RESORT, 3950 LAS VEGAS BLVD SOUTH, LAS VEGAS, NEVADA 89119"
OPTICA,"3930 LAS VEGAS BLVD. SOUTH, LAS VEGAS, NV 89119, LAS VEGAS, NEVADA 89119"
OPTICA,"MGM GRAND HOTEL & CASINO, 3799 LAS VEGAS BLVD SOUTH, LAS VEGAS, NEVADA 89109"
OPTICA,"3770 LAS VEGAS BLVD., LAS VEGAS, NEVADA 89109"
OPTICA ARIA,"3730 LAS VEGAS BLVD SOUTH, LAS VEGAS, NEVADA 89158"
OPTICA,"3645 LAS VEGAS BLVD. SOUTH, LAS VEGAS, NEVADA 89109"
OPTICA,"VIA BELLAGIO SHOPS, 3600 LAS VEGAS BLVD. SOUTH, LAS VEGAS, NEVADA 89109"
OPTICA (LOCATED IN THE PALAZZO LOBBY),"GRAND CANAL SHOPPES, THE VENETIAN| THE PALAZZO, 3327 LAS VEGAS BLVD SOUTH, LAS VEGAS, NEVADA 89109"
DAVANTE (DOWNSTAIRS),"THE FORUM SHOPS AT CAESARS, 3500 LAS VEGAS BLVD SOUTH, LAS VEGAS, NEVADA 89109"
SCENE,"3327 LAS VEGAS BLVD. SOUTH, LAS VEGAS, NEVADA 89109"
OPTICA,"THE MIRAGE HOTEL & CASINO, 3400 LAS VEGAS BLVD SOUTH, LAS VEGAS, NEVADA 89109"
OPTICA,"FASHION SHOW MALL, 3200 LAS VEGAS BLVD SOUTH, LAS VEGAS, NEVADA 89109"
OPTICA,"FASHION VALLEY MALL, 7007 FRIARS ROAD, SAN DIEGO, CALIFORNIA 92108"
EYES ON FIFTH,"228 FIFTH AVENUE, SAN DIEGO, CALIFORNIA 92101"
ARENA EYEWORKS,"3750 SPORTS ARENA BLVD., STE.9, SAN DIEGO, CALIFORNIA 92110"
ALEXANDER DAAS OPTICIANS,"1414 CAMINO DE MAR, DEL MAR, CALIFORNIA 92014"
INVISION,"1907 FILMORE STREET, SAN FRANCISCO, CALIFORNIA 94115"
EYE GOTCHA,"586 CASTRO ST., SAN FRANCISCO, CALIFORNIA 94114"
SAN FRANCISCO OPTICS,"2248 CHESTNUT STREET, SAN FRANCISCO, CALIFORNIA 94123"
RIMS & GOGGLES,"606 STRAWBERRY VILLAGE, MILL VALLEY, CALIFORNIA 94941"
BURLINGAME OPTICAL,"1321 HOWARD AVENUE, BURLINGAME, CALIFORNIA 94010"
PENINSULA OPTICAL,"415 UNIVERSITY AVENUE, PALO ALTO, CALIFORNIA 94301"
WILBY OPTICAL,"855 EL CAMINO REAL #103, PALO ALTO, CALIFORNIA 94301"
OCCHIALI FINE EYEWEAR,"1046 COAST VILLAGE ROAD, MONTECITO, CALIFORNIA 93108"
POLSINELLI OPTOMETRY,"4859 MEADOWS ROAD<BR> SUITE 155, LAKE OSWEGO, OREGON 97035"
MARKET OPTICAL - BELLEVUE,"235 BELLEVUE SQUARE, BEAUX ARTS, WASHINGTON 98004"
SEATTLE VISION CARE,"311 UNION STREET, SEATTLE, WASHINGTON 98101"
MARKET OPTICAL - UNIVERSITY VILLAGE,"2602 N.E. UNIVERSITY VILLAGE, SEATTLE, WASHINGTON 98105"
