Name,Street,City,Region,Zip
Georgetown Opticians -Eastern Market,660 Pennsylvania Avenue,Washington DC,,20003
Voorthuis Opticians - Bethesda,10231 Old Georgetown Road,BETHESDA,,20814
Georgetown Opticians - 14th Street,1919 14th Street NW,WASHINGTON,,20009
Wink Eyecare Boutique,1095 Seven Locks Road,Potomac,,20854
MORGENTHAL FREDERICS,"City Center DC,¾941 H Street, NW",Washington,,20001
I Doc Optical - DC,923 F. Street NW,WASHINGTON,,20004
Voorthuis Opticians - Mazza Gallerie,5300 Wisconsin Ave,Washington,,20015
Drs Klessman & Rosenblatt,900 17th Street NW,WASHINGTON,,20006
Metropolitan Optical,1919 Pennsylvania Avenue NW,Washington DC,,20006
Voorthuis Opticians - Foxhall,3301 New Mexico Ave NW,WASHINGTON,,20016
Georgetown Opticians,1307 Wisconsin Avenue NW,Washington,,20007
Specs of Westport,115 Post Road East,Westport,,6880
Dr. George G. Amatuzzi,419 Main Street,Ridgefield,,6877
Village Eye Center - Mc Lean,1471 Chain Bridge Road,McLean,,22101
Georgetown Opticians Tysons Galleria,2001 International Drive,Mc Lean,,22102
Specs of Fairfield,2385 Black Rock Turnpike,FAIRFIELD,,6825
Fritz & Hawley,2313 Whitney Avenue,Hamden,Connecticut,6518
Bosson Optical,29 West Street,Litchfield,Connecticut,06759
Roeloff's East Hampton Optical,9 Barns Lane,East Hampton,,1197
Central Optica,33 LaSalle Rd.,West Hartford,,6107
Couture Eyewear Gallery,200 Towne Center West Blvd<br> #610,Richmond,Virginia,23233
Frameology Optical,5781 Bridge Street,East Syracuse,New York,13057
Opt Eyewear Boutique,138 A Wayland Avenue,Providence,,2906
Drs Klessman & Rosenblatt,900 17th Street NW,WASHINGTON,,20006
Metropolitan Optical,1919 Pennsylvania Avenue NW,Washington DC,,20006
Georgetown Opticians - 14th Street,1919 14th Street NW,WASHINGTON,,20009
MORGENTHAL FREDERICS,"City Center DC,¾941 H Street, NW",Washington,,20001
I Doc Optical - DC,923 F. Street NW,WASHINGTON,,20004
Georgetown Opticians,1307 Wisconsin Avenue NW,Washington,,20007
Georgetown Opticians -Eastern Market,660 Pennsylvania Avenue,Washington DC,,20003
Voorthuis Opticians - Foxhall,3301 New Mexico Ave NW,WASHINGTON,,20016
Voorthuis Opticians - Mazza Gallerie,5300 Wisconsin Ave,Washington,,20015
Bethesda Vision Care,4300 East West Hwy.,Bethesda,,MD 20814
Village Eye Center - Mc Lean,1471 Chain Bridge Road,McLean,,22101
Voorthuis Opticians - Bethesda,10231 Old Georgetown Road,BETHESDA,,20814
Georgetown Opticians Tysons Galleria,2001 International Drive,Mc Lean,,22102
Wink Eyecare Boutique,1095 Seven Locks Road,Potomac,,20854
Couture Eyewear Gallery,200 Towne Center West Blvd<br> #610,Richmond,Virginia,23233
Simon Eye Associates,"5301 Limestone Rd, Suite 128",Wilmington,,DE 19711
"Robert Hufford, Inc",841 Lancaster Ave,BRYN MAWR,,19010
American Vision at the Court,"690 W Dekalb Pike, # 2035",King of Prussia,Pennsylvania,19406
Marchese Opticians,713 Montgomery Avenue,NARBERTH,,19072
The Eyeglassworks Inc.,P.O. 29153,Philadelphia,,19127
Dreyfus Opticians,24 South Main Street<br> PO Box 355,Yardley,,19067
AUCOURANT,"Palmer Square Princeton, 57 Palmer Square West",Princeton,,8542
Eyetique - 111 - Squirrel Hill,2242 Murray Ave.,Pittsburgh,,15217
Oakmont Eye Care,750 Third Street,Oakmont,,15139
Eye Design (Red Bank),90 Broad Street,Red Bank,,7701
Pildes Optical,The Mall at Short Hills   JFK parkway,Short Hills,,7078
MS Optical,5202 16th Avenue,BROOKLYN,,11204
Oculus 20/20,267 Smith Street,BROOKLYN,,11231
Myoptics,322 Washington Street,Hoboken,New Jersey,7030
Robert Marc Opticians - 386,386 Bleecker St,New York,,10014
HelloVisonist.com,234 39th St.,New York,New York,10018
Robert Marc Opticians - 400,400 Madison Avenue,New York,,10022
LEONARD OPTICIANS,24 W 55th Street,New York,,10019
Robert Marc Opticians - 551,551 Madison Ave.,New York,,10022
Robert Marc Opticians - 190,190 Columbus Ave.,New York,,10023
Robert Marc Opticians - 782,782 Madison Ave.,New York,,10021
LEONARD OPTICIANS,1264 3rd Avenue,New York,,10021
Robert Marc Opticians - 1046,1046 Madison Ave.,New York,,10021
Robert Marc Opticians - 1225,1225 Madison Ave,MANHATTAN,,10128
Sunny Vision,2500 Lemoine Avenue,Fort Lee,New Jersey,07024
Spectacles,17 Grand Avenue,Englewood,New Jersey,07631
Riehle Opticians,104 Main Street,Warwick,New York,10990
Trapp Opticians - Bronxville,42 Pondfield Road,Bronxville,,10708
