EYE SOLUTIONS,8504 18TH AVE,BROOKLYN,NY,11214-2913
VIP OPTICAL,1916 86TH ST,BROOKLYN,NY,11214-3104
MING GUANG VISION INC,5402 7TH AVE,BROOKLYN,NY,11220-3281
LORD&TAYLOR,111 EISENHOWER PKWY,LIVINGSTON,NJ,07039
J & C OPTICAL,5302 8TH AVE,BROOKLYN,NY,11220-3237
LIVINGSTON FAMILY EYECARE,184 S LIVINGSTON AVE,LIVINGSTON,NJ,07039-3014
EYE D VISION LLC,2057 86TH ST,BROOKLYN,NY,11214-3203
TEST RITE OPTICIANS,1120 TOWN CENTER WAY,LIVINGSTON,NJ,07039-2977
V OPTICAL INC,6507 18TH AVE,BROOKLYN,NY,11204-3703
DRS SAVOY AND SIEGEL,127 NEWARK AVE,JERSEY CITY,NJ,07302-5862
Saks Fifth Avenue,"225 LIBERTY STREET, SPACE T2 GATEHOUSE",NEW YORK,,10281
NEWPORT MALL - COHEN'S OPTICAL,30 MALL DR W,JERSEY CITY,NJ,07310-1601
JACOB NACHUM,26 BROADWAY,NEW YORK,NY,10004-1700
ASSOCIATE OPTICIANS,150 BROADWAY,NEW YORK,NY,10038-4378
COHENS FASHION OPTICAL,33 MAIDEN LN,NEW YORK,NY,10038-4518
JAMES LEONARD OPTICIANS,309 SMITH ST,BROOKLYN,NY,11231-4610
NASSAU FULTON GROUP,87 NASSAU ST,NEW YORK,NY,10038-3710
HAMILTON PLAZA VISION CTR,637 5TH AVE,BROOKLYN,NY,11215-5434
DESIGNER EYES,185 Greenwich Street,New York,,10007
Solstice,185 Greenwich Street Suite LL5140,New York,,10007
REVOLUTION EYES*,82 W BROADWAY,NEW YORK,NY,10007-1020
COHENS FASHION OPTICAL,33 MAIDEN LANE FRNT 2,NEW YORK,NY,10038
PARK SLOPE EYE CARE,519 5TH AVE,BROOKLYN,NY,11215-4807
JOHN BARRETT,754 FIFTH AVENUE 9TH FLOOR,NEW YORK,NY,10019
JEFFREY,450 WEST 15TH STREET,NEW YORK,NY,10011
LORD&TAYLOR,424 FIFTH AVENUE,NEW YORK,NY,10018
SAKS FIFTH AVE,611 FIFTH AVENUE,NEW YORK,NY,10022
HEIGHTS VISION CENTER      10764,132 MONTAGUE ST,BROOKLYN,NY,11201-3573
EYESHAPES HOBOKEN,259 1ST ST,HOBOKEN,NJ,07030-3539
TANGO,145 MONTAGUE ST,BROOKLYN,NY,11201-3545
STAR SPECS INC,151 MONTAGUE ST,BROOKLYN,NY,11201-3555
FAMILY EYECARE OPHTHALMOLOGY PC,332 9TH ST,BROOKLYN,NY,11215-8127
CENTRAL OPTIX INC,368 CENTRAL AVE,JERSEY CITY,NJ,07307-2828
TRIBECA EYE & HEALTH,93 WORTH ST,NEW YORK,NY,10013-3412
Barneys,194 Atlantic Avenue,Brooklyn,,11201
GREATER OPTICS,4820 14TH AVE,BROOKLYN,NY,11219-3118
PARK OPTICS*,337 5TH AVE,BROOKLYN,NY,11215-2808
WISE VISION & HEARING  #862,334 WASHINGTON ST,HOBOKEN,NJ,07030-4842
EYE SOLUTIONS,33 MOTT ST,NEW YORK,NY,10013-5021
DOWNTOWN EYECARE,398 BRIDGE ST,BROOKLYN,NY,11201-5210
CHINATOWN OPTICAL,40 MOTT ST,NEW YORK,NY,10013-5011
MOTT STREET OPTICAL INC,52 MOTT ST,NEW YORK,NY,10013-4811
EYE DROP BOUTIQUE,84 FRONT ST,BROOKLYN,NY,11201-1004
MACKEE ENTERPRISES,38 E BROADWAY,NEW YORK,NY,10002
CONFUCIUS PLAZA OPT,17 BOWERY,NEW YORK,NY,10002-6702
CANAL STREET OPTICAL INC,158 CANAL ST,NEW YORK,NY,10013-4501
EYES MATE OPTICAL #9000,107 MOTT ST,NEW YORK,NY,10013-4981
EYES ON THE SLOPE,158 7TH AVE,BROOKLYN,NY,11215-2285
CREDO NEW YORK EYEWEAR,80 THOMPSON ST,NEW YORK,NY,10012-5112
FULTON VISION EXPRESS,395 FLATBUSH AVENUE EXT,BROOKLYN,NY,11201-5300
OPTICAL 88,116 MOTT ST,NEW YORK,NY,10013-4706
VISION WIDE INC.,83A 5TH AVE,BROOKLYN,NY,11217-3201
MANHATTAN GRAND OPTICAL,203 GRAND ST,NEW YORK,NY,10013-3739
BLOOMINGDALES,504 BROADWAY,NEW YORK,NY,10012
MODERN EYES OPTICAL,6214 18TH AVE,BROOKLYN,NY,11204-2901
ADVANCED EYECARE INC,115 7TH AVE,BROOKLYN,NY,11215-1301
SOLSTICE,107 SPRING STREET,NEW YORK,NY,10012
BLOOMINGDALES,504 BROADWAY,NEW YORK,,10012
CLINTON HO OD/ H OPTICS MBR#70254,76 ORCHARD ST,NEW YORK,NY,10002-4511
FLATBUSH OPTICAL,743 CHURCH AVE,BROOKLYN,NY,11218-3305
TRIANGLE OPTICAL  3687,90 DELANCEY ST,NEW YORK,NY,10002-3105
WEST VILLAGE EYECARE,10 SHERIDAN SQ,NEW YORK CITY,NY,10014-6867
COHENS FASHION OPTICAL,5 GREENWICH AVE,NEW YORK,NY,10014-3543
CASERTA EYE,67 8TH AVE,NEW YORK,NY,10014-1226
DEVONSHIRE OPTICAL,51 UNIVERSITY PL,NEW YORK,NY,10003-4559
OPTICAL GALLERY,446 MYRTLE AVE,BROOKLYN,NY,11205-2414
GVC VISION 1 INC,1704 CHURCH AVE,BROOKLYN,NY,11226-2630
J OPTICAL,48 WASHINGTON AVE,BROOKLYN,NY,11205-1202
ANTHONY AIDEN OPTICIANS,42 ST MARKS PL,NEW YORK,NY,10003-8116
RIVKA OPTICIANS #1007,810 BROADWAY,NEW YORK,NY,10003-4800
Barneys,101 7th Ave,New York,,10011
UNION SQUARE OPTICAL,9 W 14TH ST,NEW YORK,NY,10011-7402
CITI CENTER OPTICAL,708 FLATBUSH AVE,BROOKLYN,NY,11225-6007
